#TH	FDR	1-NPV
0.673   0.108   0.200
0.674   0.107   0.200
0.675   0.107   0.200
0.676   0.107   0.201
0.677   0.107   0.201
0.678   0.107   0.202
0.679   0.106   0.202
0.680   0.106   0.202
0.681   0.106   0.202
0.682   0.106   0.203
0.683   0.106   0.203
0.684   0.105   0.204
0.685   0.105   0.204
0.686   0.105   0.204
0.687   0.105   0.204
0.688   0.105   0.205
0.689   0.104   0.205
0.690   0.104   0.206
0.691   0.104   0.206
0.692   0.104   0.206
0.693   0.104   0.207
0.694   0.104   0.207
0.695   0.103   0.207
0.696   0.103   0.207
0.697   0.103   0.208
0.698   0.103   0.209
0.699   0.102   0.209
0.700   0.102   0.209
0.701   0.102   0.210
0.702   0.102   0.210
0.703   0.102   0.210
0.704   0.102   0.210
0.705   0.102   0.211
0.706   0.101   0.211
0.707   0.101   0.211
0.708   0.101   0.212
0.709   0.101   0.212
0.710   0.100   0.213
0.711   0.100   0.213
0.712   0.100   0.213
0.713   0.100   0.214
0.714   0.100   0.214
0.715   0.100   0.214
0.716   0.099   0.215
0.717   0.099   0.215
0.718   0.099   0.215
0.719   0.099   0.216
0.720   0.098   0.216
0.721   0.099   0.216
0.722   0.098   0.217
0.723   0.098   0.217
0.724   0.098   0.218
0.725   0.098   0.218
0.726   0.098   0.218
0.727   0.097   0.219
0.728   0.097   0.219
0.729   0.097   0.219
0.730   0.097   0.220
0.731   0.097   0.220
0.732   0.097   0.221
0.733   0.096   0.221
0.734   0.096   0.221
0.735   0.096   0.222
0.736   0.095   0.222
0.737   0.095   0.223
0.738   0.095   0.223
0.739   0.095   0.223
0.740   0.095   0.223
0.741   0.095   0.224
0.742   0.094   0.224
0.743   0.094   0.225
0.744   0.094   0.225
0.745   0.094   0.225
0.746   0.094   0.226
0.747   0.093   0.226
0.748   0.093   0.227
0.749   0.093   0.227
0.750   0.092   0.228
0.751   0.092   0.228
0.752   0.092   0.228
0.753   0.092   0.229
0.754   0.092   0.229
0.755   0.091   0.230
0.756   0.091   0.230
0.757   0.091   0.231
0.758   0.091   0.231
0.759   0.091   0.231
0.760   0.091   0.232
0.761   0.090   0.232
0.762   0.090   0.233
0.763   0.090   0.233
0.764   0.090   0.234
0.765   0.090   0.234
0.766   0.089   0.235
0.767   0.089   0.235
0.768   0.089   0.235
0.769   0.089   0.236
0.770   0.088   0.236
0.771   0.088   0.237
0.772   0.088   0.237
0.773   0.088   0.238
0.774   0.088   0.238
0.775   0.087   0.238
0.776   0.087   0.239
0.777   0.087   0.239
0.778   0.087   0.240
0.779   0.087   0.241
0.780   0.087   0.241
0.781   0.086   0.242
0.782   0.086   0.242
0.783   0.086   0.242
0.784   0.086   0.243
0.785   0.085   0.244
0.786   0.085   0.244
0.787   0.085   0.245
0.788   0.085   0.245
0.789   0.085   0.246
0.790   0.085   0.246
0.791   0.084   0.247
0.792   0.084   0.247
0.793   0.084   0.248
0.794   0.084   0.248
0.795   0.083   0.248
0.796   0.083   0.249
0.797   0.083   0.250
0.798   0.083   0.250
0.799   0.083   0.251
0.800   0.082   0.251
0.801   0.082   0.252
0.802   0.082   0.252
0.803   0.081   0.253
0.804   0.081   0.253
0.805   0.081   0.254
0.806   0.081   0.254
0.807   0.081   0.255
0.808   0.081   0.255
0.809   0.080   0.256
0.810   0.080   0.257
0.811   0.080   0.257
0.812   0.080   0.258
0.813   0.079   0.258
0.814   0.079   0.259
0.815   0.079   0.260
0.816   0.078   0.260
0.817   0.078   0.260
0.818   0.078   0.261
0.819   0.078   0.261
0.820   0.077   0.262
0.821   0.077   0.262
0.822   0.077   0.263
0.823   0.077   0.264
0.824   0.076   0.264
0.825   0.076   0.265
0.826   0.076   0.265
0.827   0.075   0.266
0.828   0.075   0.266
0.829   0.075   0.267
0.830   0.075   0.268
0.831   0.074   0.268
0.832   0.074   0.268
0.833   0.074   0.269
0.834   0.074   0.270
0.835   0.073   0.270
0.836   0.073   0.271
0.837   0.073   0.272
0.838   0.073   0.272
0.839   0.072   0.273
0.840   0.072   0.273
0.841   0.072   0.274
0.842   0.071   0.275
0.843   0.071   0.275
0.844   0.071   0.276
0.845   0.071   0.277
0.846   0.070   0.277
0.847   0.070   0.278
0.848   0.070   0.278
0.849   0.070   0.279
0.850   0.069   0.280
0.851   0.069   0.280
0.852   0.069   0.281
0.853   0.068   0.282
0.854   0.068   0.283
0.855   0.068   0.283
0.856   0.067   0.284
0.857   0.067   0.284
0.858   0.067   0.285
0.859   0.067   0.286
0.860   0.066   0.287
0.861   0.066   0.287
0.862   0.066   0.288
0.863   0.066   0.289
0.864   0.065   0.290
0.865   0.065   0.290
0.866   0.065   0.291
0.867   0.065   0.292
0.868   0.065   0.293
0.869   0.064   0.294
0.870   0.064   0.294
0.871   0.064   0.295
0.872   0.064   0.296
0.873   0.064   0.297
0.874   0.063   0.297
0.875   0.063   0.298
0.876   0.063   0.299
0.877   0.062   0.300
0.878   0.062   0.301
0.879   0.062   0.302
0.880   0.062   0.303
0.881   0.062   0.304
0.882   0.061   0.305
0.883   0.061   0.305
0.884   0.061   0.306
0.885   0.061   0.307
0.886   0.061   0.309
0.887   0.060   0.309
0.888   0.060   0.310
0.889   0.060   0.311
0.890   0.059   0.312
0.891   0.059   0.313
0.892   0.059   0.314
0.893   0.058   0.315
0.894   0.058   0.316
0.895   0.058   0.317
0.896   0.057   0.318
0.897   0.057   0.319
0.898   0.057   0.319
0.899   0.056   0.320
0.900   0.056   0.321
0.901   0.055   0.322
0.902   0.055   0.323
0.903   0.055   0.324
0.904   0.055   0.325
0.905   0.055   0.326
0.906   0.054   0.328
0.907   0.054   0.329
0.908   0.053   0.330
0.909   0.053   0.331
0.910   0.053   0.332
0.911   0.053   0.333
0.912   0.052   0.335
0.913   0.052   0.336
0.914   0.052   0.337
0.915   0.052   0.338
0.916   0.051   0.339
0.917   0.051   0.340
0.918   0.050   0.342
0.919   0.050   0.343
0.920   0.050   0.344
0.921   0.049   0.346
0.922   0.049   0.347
0.923   0.049   0.349
0.924   0.049   0.350
0.925   0.049   0.351
0.926   0.048   0.353
0.927   0.048   0.354
0.928   0.048   0.356
0.929   0.047   0.357
0.930   0.047   0.358
0.931   0.047   0.360
0.932   0.047   0.361
0.933   0.046   0.363
0.934   0.046   0.364
0.935   0.045   0.366
0.936   0.045   0.368
0.937   0.045   0.369
0.938   0.045   0.371
0.939   0.045   0.372
0.940   0.044   0.374
0.941   0.044   0.376
0.942   0.044   0.378
0.943   0.044   0.380
0.944   0.044   0.382
0.945   0.044   0.383
0.946   0.044   0.385
0.947   0.044   0.387
